sku,field,ua_or_diff,ru_or_bad,url
2092817704,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1977 len(RU)=2007,https://labresta.com.ua/vitryna-kholodylna-juka-adkh150-rehal/
2092826161,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1949 len(RU)=1981,https://labresta.com.ua/vitryna-kholodylna-juka-adx187-rehal/
2092829999,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=2163 len(RU)=2190,https://labresta.com.ua/vitryna-kholodylna-juka-adx250-rehal/
2092830478,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=2150 len(RU)=2159,https://labresta.com.ua/vitryna-kholodylna-juka-adi125-rehal/
2092830744,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=2135 len(RU)=2159,https://labresta.com.ua/vitryna-kholodylna-juka-adi150-rehal/
1276505592,descr_full,br: UA=1/RU=0; h2: UA=0/RU=1; p: UA=2/RU=1,len(UA)=377 len(RU)=377,https://labresta.com.ua/morozylna-boneta-ubc-zeus-1.85/
1581234354,descr_full,p: UA=1/RU=0,len(UA)=919 len(RU)=932,https://labresta.com.ua/kholodylna-vitryna-tefcold-vk33-150-dlia-topinhu/
1581238956,descr_full,p: UA=1/RU=0,len(UA)=897 len(RU)=908,https://labresta.com.ua/kholodylna-vitryna-tefcold-vk38-180-dlia-topinhu/
1582948462,descr_full,table: UA=0/RU=3; tbody: UA=0/RU=3; td: UA=0/RU=6; tr: UA=0/RU=3,len(UA)=430 len(RU)=433,https://labresta.com.ua/skrynia-morozylna-tefcold-se10-45-do-45s/
2114596575,descr_full,li: UA=69/RU=38,len(UA)=2634 len(RU)=1669,https://labresta.com.ua/boneta-morozylna-tefcold-ssf150/
2117179276,descr_full,p: UA=6/RU=7,len(UA)=1297 len(RU)=1293,https://labresta.com.ua/morozylna-shafa-boneta-tefcold-mtf210-vs-nadstroika/
2118562428,descr_full,p: UA=9/RU=8,len(UA)=1768 len(RU)=1811,https://labresta.com.ua/vitryna-dlia-morozyva-tefcold-millennium-st18/
2118828712,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1454 len(RU)=1461,https://labresta.com.ua/kholodylna-hirka-tefcold-odc60-rehal/
2118836356,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1412 len(RU)=1415,https://labresta.com.ua/kholodylna-hirka-tefcold-odc60-black-rehal/
2118842258,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1386 len(RU)=1390,https://labresta.com.ua/kholodylna-hirka-tefcold-odc90-black-rehal/
2118850268,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1428 len(RU)=1436,https://labresta.com.ua/kholodylna-hirka-tefcold-odc90-rehal/
2118857483,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1008 len(RU)=1018,https://labresta.com.ua/kholodylna-hirka-tefcold-md1100x-slim-rehal/
2118864746,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1533 len(RU)=1544,https://labresta.com.ua/kholodylna-hirka-tefcold-pc1250b-rehal/
2118871887,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=951 len(RU)=963,https://labresta.com.ua/kholodylna-hirka-tefcold-md1002b-rehal/
2119445069,descr_full,br: UA=1/RU=0; div: UA=0/RU=1; p: UA=6/RU=7; span: UA=0/RU=1,len(UA)=1395 len(RU)=1405,https://labresta.com.ua/kholodylna-hirka-tefcold-md1002x-rehal/
2119449988,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1244 len(RU)=1247,https://labresta.com.ua/kholodylna-hirka-tefcold-noc60cc-rehal/
2119456872,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1474 len(RU)=1486,https://labresta.com.ua/kholodylna-hirka-tefcold-extra1250cd-rehal/
2119464194,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1400 len(RU)=1411,https://labresta.com.ua/kholodylna-hirka-tefcold-md1402x-rehal/
2119470330,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1073 len(RU)=1071,https://labresta.com.ua/kholodylna-hirka-tefcold-mcx90m-rehal/
